MAEASaM ID,Evidence,Evidence Shape,Interpretation,Interpretation certainty,Ground truthed,Land use land cover,Climate Zone,Geometry,Grid Level 1,Grid Level 2,Remote Sensing Activity,Surveyor Name,Survey type,Survey Date,Image Type,Date of imagery,Additional information,Threat assessment date,Threat assessor name,Image used date,Threat type,Threat level,Measurement value,Measurement type,Measurement unit
RS_ETH_0000068,Structure,Semi-Circular,Tumulus,Low,No,Shrubland,Desert hot,POINT (42.5043134464635 10.7724131091494),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000069,Structure,Semi-Circular,Tumulus,Medium,No,Shrubland,Desert hot,POINT (42.5020410277569 10.7713730069826),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000070,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.4999035003381 10.7630295787235),E42.3N10.8,183000,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000071,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5000081710858 10.7631286679675),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000072,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5002101632566 10.7627979718859),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000073,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5002325305793 10.7628639645192),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000074,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5001682868034 10.7636686956357),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000075,Structure,Semi-Circular,Tumulus,High,No,Barren,Desert hot,POINT (42.4983583704073 10.7651154412034),E42.3N10.8,183000,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000076,Structure,Semi-Circular,Tumulus,High,No,Barren,Desert hot,POINT (42.4987512183131 10.7651427450151),E42.3N10.8,183000,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000077,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5048746138993 10.7622038301981),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000078,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.503359070374 10.7625216490253),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000079,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.502124577157 10.7569556193053),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000080,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5050550296228 10.7548270034987),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000081,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5051007317419 10.7549037928208),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000082,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5054336448844 10.7558182625531),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000083,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5032180200288 10.7552433970285),E42.6N10.8,183470,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/03/2013,,,,,,,,,
RS_ETH_0000084,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.5057484980947 10.9920200365018),E42.6N10.8,183461,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000085,Structure,Semi-Circular,Tumulus,High,No,Barren,Desert hot,POINT (42.507804474683 10.9811297206466),E42.6N10.8,183461,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000086,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5077626526684 10.9810511828814),E42.6N10.8,183461,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000087,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5064177579221 10.9549627288534),E42.6N10.8,183462,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000088,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5063156488901 10.9293573145586),E42.6N10.8,183463,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000089,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5087136797376 10.9021160719223),E42.6N10.8,183464,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000090,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5087417187408 10.902229712921),E42.6N10.8,183464,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000091,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5079336727101 10.8865353703399),E42.6N10.8,183465,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000092,Structure,Semi-Circular,Tumulus,Medium,No,Shrubland,Desert hot,POINT (42.505560332615 10.8517261132838),E42.6N10.8,183466,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000093,Structure,Semi-Circular,Tumulus,Low,No,Shrubland,Desert hot,POINT (42.5047768563484 10.849995516946),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000094,Structure,Semi-Circular,Tumulus,Low,No,Shrubland,Desert hot,POINT (42.507208986367 10.8505807649704),E42.6N10.8,183466,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,23/09/2010,,,,,,,,,
RS_ETH_0000095,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5071911119861 10.8375539267462),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000096,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5068457599423 10.8375416065078),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000097,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5072595473875 10.8369174073918),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000098,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5073018563925 10.836557555739),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000099,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5074639453273 10.8378428248267),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000100,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5061947941534 10.8374508487996),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000101,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5058068924997 10.8370893960004),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000102,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5062793661686 10.8366725428703),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000103,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5067042128134 10.8375750648344),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000104,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5059582917996 10.8363023671474),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000105,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5067082466342 10.8361169449491),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000106,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5068154502048 10.835872045123),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000107,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5076199031092 10.8357651591474),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000108,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5093694327005 10.8348613048945),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
RS_ETH_0000109,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5097368452799 10.8347775114072),E42.6N10.8,183467,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,30/04/2013,,,,,,,,,
